sample	category	filename	relative_path	size_bytes	size_human	url
T2T15	assembly	T2T15.contig_pofo_assignment.tsv	assemblies/T2T15/T2T15.contig_pofo_assignment.tsv	37267	36.4KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T15&files=T2T15.contig_pofo_assignment.tsv
T2T15	assembly	T2T15.hap1.fasta	assemblies/T2T15/T2T15.hap1.fasta	3031131460	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T15&files=T2T15.hap1.fasta
T2T15	assembly	T2T15.hap2.fasta	assemblies/T2T15/T2T15.hap2.fasta	3000947941	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T15&files=T2T15.hap2.fasta
T2T16	assembly	T2T16.combined.fasta	assemblies/T2T16/T2T16.combined.fasta	6098102155	5.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T16&files=T2T16.combined.fasta
T2T16	assembly	T2T16.contig_pofo_assignment.tsv	assemblies/T2T16/T2T16.contig_pofo_assignment.tsv	47477	46.4KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T16&files=T2T16.contig_pofo_assignment.tsv
T2T16	assembly	T2T16.hap1.fasta	assemblies/T2T16/T2T16.hap1.fasta	3026798470	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T16&files=T2T16.hap1.fasta
T2T16	assembly	T2T16.hap2.fasta	assemblies/T2T16/T2T16.hap2.fasta	3022420151	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T16&files=T2T16.hap2.fasta
T2T17	assembly	T2T17.combined.fasta	assemblies/T2T17/T2T17.combined.fasta	6016062579	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T17&files=T2T17.combined.fasta
T2T17	assembly	T2T17.contig_pofo_assignment.tsv	assemblies/T2T17/T2T17.contig_pofo_assignment.tsv	37821	36.9KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T17&files=T2T17.contig_pofo_assignment.tsv
T2T17	assembly	T2T17.hap1.fasta	assemblies/T2T17/T2T17.hap1.fasta	3025417028	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T17&files=T2T17.hap1.fasta
T2T17	assembly	T2T17.hap2.fasta	assemblies/T2T17/T2T17.hap2.fasta	2919847051	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T17&files=T2T17.hap2.fasta
T2T18	assembly	T2T18.combined.fasta	assemblies/T2T18/T2T18.combined.fasta	6032569919	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T18&files=T2T18.combined.fasta
T2T18	assembly	T2T18.contig_pofo_assignment.tsv	assemblies/T2T18/T2T18.contig_pofo_assignment.tsv	36498	35.6KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T18&files=T2T18.contig_pofo_assignment.tsv
T2T18	assembly	T2T18.hap1.fasta	assemblies/T2T18/T2T18.hap1.fasta	3027740299	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T18&files=T2T18.hap1.fasta
T2T18	assembly	T2T18.hap2.fasta	assemblies/T2T18/T2T18.hap2.fasta	2941540757	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T18&files=T2T18.hap2.fasta
T2T19	assembly	T2T19.combined.fasta	assemblies/T2T19/T2T19.combined.fasta	6020685522	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T19&files=T2T19.combined.fasta
T2T19	assembly	T2T19.contig_pofo_assignment.tsv	assemblies/T2T19/T2T19.contig_pofo_assignment.tsv	35207	34.4KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T19&files=T2T19.contig_pofo_assignment.tsv
T2T19	assembly	T2T19.hap1.fasta	assemblies/T2T19/T2T19.hap1.fasta	3012004479	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T19&files=T2T19.hap1.fasta
T2T19	assembly	T2T19.hap2.fasta	assemblies/T2T19/T2T19.hap2.fasta	2927785393	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T19&files=T2T19.hap2.fasta
